model,n_samples,n_wrong,error_rate,real_to_fake,fake_to_real,avg_len_wrong,avg_len_correct,political_error_rate_true,political_error_rate_false
gru,7214,69,0.009564735237039091,33,36,322.28985507246375,305.34023792862143,0.010354110581901015,0.007966457023060796
gru5000,7214,82,0.01136678680343776,40,42,318.0365853658537,305.3582445316882,0.012217850486643197,0.009643605870020965
lstm,7214,98,0.013584696423620738,58,40,318.8469387755102,305.31857785272626,0.013253261544833299,0.014255765199161425
bilstm,7214,110,0.01524812863875797,41,69,342.09090909090907,304.93581081081084,0.016152412507765584,0.013417190775681341
nb,7214,1356,0.18796784031050734,441,915,252.9439528023599,317.668487538409,0.17912611306688755,0.20587002096436058
rnn,7214,3176,0.44025505960632105,1357,1819,297.95938287153655,311.4351163942546,0.4305239179954442,0.459958071278826
