model,n,accuracy,macro_f1,weighted_f1,fake_precision,fake_recall,fake_f1,real_precision,real_recall,real_f1,roc_auc,pr_auc,brier,tn,fp,fn,tp
gru,7214,0.990435264762961,0.990427075265002,0.9904351483246013,0.9903069466882067,0.9911075181891673,0.9907070707070708,0.9905714285714285,0.9897230944904367,0.990147079822933,0.9995392946862423,0.9995651768790234,0.007445972391094934,3467,36,33,3678
gru5000,7214,0.9886332131965623,0.9886235728598436,0.9886331213838315,0.9886883921357393,0.9892212341686877,0.9889547413793104,0.9885746929448729,0.9880102769055096,0.9882924043403769,0.999105859373107,0.9991017567035662,0.009989522665437863,3461,42,40,3671
lstm,7214,0.9864153035763793,0.986405873695066,0.9864161969335563,0.9891686975358787,0.9843707895445971,0.9867639113992437,0.9835274069866515,0.9885812161004853,0.9860478359908884,0.9987766962344243,0.9988759576506077,0.011828175572646865,3463,40,58,3653
bilstm,7214,0.984751871361242,0.9847355350757222,0.9847499331578754,0.981545867879112,0.9889517650229048,0.9852348993288591,0.9882014388489209,0.9803025977733372,0.9842361708225853,0.9983258758151096,0.9982660665108432,0.012512489725473664,3434,69,41,3670
nb,7214,0.8120321596894926,0.8103370453991293,0.8108540304026419,0.7813620071684588,0.8811641067097817,0.8282674772036475,0.8544073951799274,0.7387953182986012,0.7924066135946112,0.9144291996550982,0.9263600935378942,0.1815899283624545,2588,915,441,3270
rnn,7214,0.559744940393679,0.5559143646443108,0.5571035583097862,0.5641025641025641,0.6343303691727297,0.5971588026382547,0.5537652088128905,0.4807308021695689,0.5146699266503667,0.5954589256481317,0.5894540158364275,0.24303443543509137,1684,1819,1357,2354
